Username,Repo_name,Repo_url,Stars_count
babel,babel,https://github.com/babel/babel,41500
nylas,nylas-mail,https://github.com/nylas/nylas-mail,24700
swc-project,swc,https://github.com/swc-project/swc,24200
kriasoft,react-starter-kit,https://github.com/kriasoft/react-starter-kit,21500
electron-react-boilerplate,electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,20300
avajs,ava,https://github.com/avajs/ava,20000
SimulatedGREG,electron-vue,https://github.com/SimulatedGREG/electron-vue,15100
grab,front-end-guide,https://github.com/grab/front-end-guide,14600
jamiebuilds,babel-handbook,https://github.com/jamiebuilds/babel-handbook,11300
grommet,grommet,https://github.com/grommet/grommet,8100
developit,htm,https://github.com/developit/htm,7900
ben-rogerson,twin.macro,https://github.com/ben-rogerson/twin.macro,6400
angular-fullstack,generator-angular-fullstack,https://github.com/angular-fullstack/generator-angular-fullstack,6100
documentationjs,documentation,https://github.com/documentationjs/documentation,5600
insin,nwb,https://github.com/insin/nwb,5500
thinkjs,thinkjs,https://github.com/thinkjs/thinkjs,5300
egoist,poi,https://github.com/egoist/poi,5300
fkling,astexplorer,https://github.com/fkling/astexplorer,5100
transitive-bullshit,create-react-library,https://github.com/transitive-bullshit/create-react-library,4700
babel,babel-loader,https://github.com/babel/babel-loader,4700
