Username,Repo_name,Repo_url,Stars_count
localstack,localstack,https://github.com/localstack/localstack,44000
serverless,serverless,https://github.com/serverless/serverless,43600
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,31300
donnemartin,data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,23900
pulumi,pulumi,https://github.com/pulumi/pulumi,13900
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,13100
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,13000
aws,aws-cli,https://github.com/aws/aws-cli,13000
mozilla,sops,https://github.com/mozilla/sops,11000
donnemartin,awesome-aws,https://github.com/donnemartin/awesome-aws,10900
apereo,cas,https://github.com/apereo/cas,9800
aws,aws-cdk,https://github.com/aws/aws-cdk,9400
caprover,caprover,https://github.com/caprover/caprover,9400
aws,chalice,https://github.com/aws/chalice,9200
serverless-stack,sst,https://github.com/serverless-stack/sst,9200
aws-amplify,amplify-js,https://github.com/aws-amplify/amplify-js,8900
angristan,openvpn-install,https://github.com/angristan/openvpn-install,8800
GoogleCloudPlatform,terraformer,https://github.com/GoogleCloudPlatform/terraformer,8800
aws,serverless-application-model,https://github.com/aws/serverless-application-model,8800
apex,up,https://github.com/apex/up,8600
